Tipo Registrante,Gruppo Sconto,Cod.,Denominazione,Indirizzo,Cap,Città,Prov.,Regione,Nazione,Partita Iva,Codice fiscale,Elenco dest.,Nome Azienda,Extra 2,Note,Num. listino,Sconti,Banca,Pagamento,Fatt. con Iva,Rif. Persona,Desc. Tel. 1,Tel. 1,Desc. Tel. 2,Tel. 2,Desc. Tel. 3,Tel. 3,Cell,Fax,e-mail,Home page,Login web,Conto reg.,Note doc.
Privato,C,EXT11499,Santoro Serena,"Via Roma, 191",00136,Roma,RM,Lazio,Italia,,SNTSRN50R49H501,,,,,,,UniCredit,Carta di credito,Sì,Serena Santoro,Casa,0708792788,,,,,3788774085,,serena.santoro38@libero.it,,,,
Privato,,PAZ06475,Bruno Alessandra,"Corso Vittorio Emanuele, 197",80123,Napoli,NA,Campania,Italia,,BRNLSN07R44F839,,,,,,,Banca Mediolanum,PayPal,Sì,Alessandra Bruno,Casa,0106562555,,,,,3510383211,,alessandra.bruno18@libero.it,,,,
Privato,A,EXT13167,Gallo Chiara,"Via Leopardi, 13",10125,Torino,TO,Piemonte,Italia,,GLLCHR43P57L219,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,Sì,Chiara Gallo,Casa,0246976809,,,,,3862047040,,chiara.gallo32@gmail.com,,,,
Azienda,B,PAZ00862,Ricci Giovanna,"Via della Libertà, 136",84121,Salerno,SA,Campania,Italia,,RCCGNN88P49H703,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,No,Giovanna Ricci,Casa,0158543670,,,,,3589956141,,giovanna.ricci89@libero.it,,,,
Professionista,C,PAZ05970,Grassi Davide,"Via Nazionale, 82",10122,Torino,TO,Piemonte,Italia,,GRSDVD61R28L219,,,,,,,UniCredit,Contanti,No,Davide Grassi,Casa,0491679246,,,,,3812986513,,davide.grassi60@gmail.com,,,,
Azienda,C,PAZ06706,Piras Paola,"Via Cavour, 101",20123,Milano,MI,Lombardia,Italia,,PRSPLA39D52F205,,,,,,,Banco BPM,Contanti,No,Paola Piras,Casa,0791076645,,,,,3315884750,,paola.piras68@libero.it,,,,
Privato,,PAZ03017,Sartori Francesco,"Piazza del Comune, 80",80131,Napoli,NA,Campania,Italia,,SRTFNC68B26F839,,,,,,,Banco BPM,RID bancario,Sì,Francesco Sartori,Casa,0778569642,,,,,3874102553,,francesco.sartori47@gmail.com,,,,
Privato,,PAZ03781,Amato Teresa,"Piazza del Comune, 72",20125,Milano,MI,Lombardia,Italia,,MTATRS70S64F205,,,,,,,BPER Banca,RID bancario,No,Teresa Amato,Casa,0745922941,,,,,3368824812,,teresa.amato32@gmail.com,,,,
Privato,,PAZ03898,Silvestri Gianluca,"Via Napoli, 58",10122,Torino,TO,Piemonte,Italia,,SLVGLC90A01L219,,,,,,,Banco BPM,Contanti,Sì,Gianluca Silvestri,Casa,0262600575,,,,,3723009725,,gianluca.silvestri87@libero.it,,,,
Azienda,,PAZ02250,Coppola Roberto,"Via Nazionale, 125",20122,Milano,MI,Lombardia,Italia,,CPPRRT61E02F205,,,,,,,Banca MPS,Contanti,No,Roberto Coppola,Casa,0995348641,,,,,3016360512,,roberto.coppola91@gmail.com,,,,
