person_id,tax_code,first_name,last_name,birth_year,birth_month,birth_day,sex,city,zip,province,region,job,education,marital_status,phone,email,annual_income_k,income_bracket
970,MTASVT08T02H501,Salvatore,Amato,2008,12,2,M,Roma,00100,RM,Lazio,Studente,Laurea_Triennale,Celibe_Nubile,0223227577,salvatore.amato96@gmail.com,10,<15k
6279,LNGDNL91R05F839,Daniele,Longo,1991,10,5,M,Napoli,80132,NA,Campania,Disoccupato,Diploma,Celibe_Nubile,0464903087,daniele.longo87@libero.it,22,15k-30k
1859,MNCCRL67A04H501,Carlo,Mancini,1967,1,4,M,Roma,00121,RM,Lazio,Dirigente,Laurea_Magistrale,Coniugato_a,0188204591,carlo.mancini63@libero.it,85,>50k
6803,MRTLSN04S42H501,Alessandra,Moretti,2004,11,2,F,Roma,00118,RM,Lazio,Disoccupato,Laurea_Triennale,Celibe_Nubile,0602203735,alessandra.moretti18@gmail.com,14,<15k
6305,MTARCR05E16H501,Riccardo,Amato,2005,5,16,M,Roma,00121,RM,Lazio,Studente,Diploma,Celibe_Nubile,0577751792,riccardo.amato30@gmail.com,11,<15k
3039,MRTTRS93T51F205,Teresa,Martini,1993,12,11,F,Milano,20124,MI,Lombardia,Dirigente,Laurea_Magistrale,Coniugato_a,0541736378,teresa.martini41@libero.it,74,>50k
7194,LNENCL04P07L219,Nicola,Leone,2004,9,7,M,Torino,10123,TO,Piemonte,Operaio,Diploma,Celibe_Nubile,0872345701,nicola.leone8@gmail.com,20,15k-30k
1446,MNCDVD69B08H501,Davide,Mancini,1969,2,8,M,Roma,00100,RM,Lazio,Pensionato,Licenza_Media,Coniugato_a,0223932854,davide.mancini83@gmail.com,8,<15k
5199,SNTPLA69H41H501,Paola,Santoro,1969,6,1,F,Roma,00136,RM,Lazio,Disoccupato,Diploma,Separato_a,0403788830,paola.santoro7@libero.it,5,<15k
6234,CSTLRI85H43F839,Ilaria,Costa,1985,6,3,F,Napoli,80132,NA,Campania,Disoccupato,Licenza_Media,Separato_a,0915014518,ilaria.costa92@gmail.com,6,<15k
4316,FNTCLD89S08F205,Claudio,Fontana,1989,11,8,M,Milano,20122,MI,Lombardia,Disoccupato,Diploma,Coniugato_a,0432994907,claudio.fontana47@libero.it,13,<15k
5922,SPSLSE68E56F839,Elisa,Esposito,1968,5,16,F,Napoli,80131,NA,Campania,Pensionato,Diploma,Coniugato_a,0752908128,elisa.esposito6@gmail.com,22,15k-30k
6027,MRTPLA06M61F205,Paola,Martini,2006,8,21,F,Milano,20121,MI,Lombardia,Studente,Laurea_Triennale,Celibe_Nubile,0754384581,paola.martini45@libero.it,6,<15k
1850,SPSMRC99B11L219,Marco,Esposito,1999,2,11,M,Torino,10123,TO,Piemonte,Studente,Diploma,Separato_a,0854926330,marco.esposito14@libero.it,7,<15k
429,DLCRSO98D61H501,Rosa,De Luca,1998,4,21,F,Roma,00118,RM,Lazio,Operaio,Diploma,Coniugato_a,0684315734,rosa.deluca3@libero.it,25,15k-30k
101,MTAVNT88R53F839,Valentina,Amato,1988,10,13,F,Napoli,80122,NA,Campania,Disoccupato,Diploma,Celibe_Nubile,0155449790,valentina.amato50@gmail.com,11,<15k
4707,CPPCLD61S64H703,Claudia,Coppola,1961,11,24,F,Salerno,84124,SA,Campania,Pensionato,Licenza_Media,Coniugato_a,0499411321,claudia.coppola95@libero.it,69,>50k
